BrEPI_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL10/IP-10,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,BrEPI_IL-1b/TNF-a/IFN-g_24:HLA-DR,BrEPI_IL-1b/TNF-a/IFN-g_24:IL-1alpha,BrEPI_IL-1b/TNF-a/IFN-g_24:MMP-1,BrEPI_IL-1b/TNF-a/IFN-g_24:PAI-I,BrEPI_IL-1b/TNF-a/IFN-g_24:SRB,BrEPI_IL-1b/TNF-a/IFN-g_24:tPA,BrEPI_IL-1b/TNF-a/IFN-g_24:uPA,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CD106/VCAM-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Collagen III,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL10/IP-10,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL8/IL-8,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL9/MIG,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:EGFR,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:M-CSF,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:MMP-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:PAI-I,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Proliferation_72hr,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:SRB,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CCL2/MCP-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CD54/ICAM-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CXCL10/IP-10,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:IL-1alpha,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:MMP-9,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:SRB,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:uPA,HUVEC/PBMC_LPS_24:CCL2/MCP-1,HUVEC/PBMC_LPS_24:CD106/VCAM-1,HUVEC/PBMC_LPS_24:CD142/Tissue Factor,HUVEC/PBMC_LPS_24:CD40,HUVEC/PBMC_LPS_24:CD62E/E-Selectin,HUVEC/PBMC_LPS_24:CXCL8/IL-8,HUVEC/PBMC_LPS_24:IL-1alpha,HUVEC/PBMC_LPS_24:M-CSF,HUVEC/PBMC_LPS_24:sPGE2,HUVEC/PBMC_LPS_24:SRB,HUVEC/PBMC_LPS_24:sTNF-alpha,HUVEC/PBMC_SEB/TSST_24:CCL2/MCP-1,HUVEC/PBMC_SEB/TSST_24:CD38,HUVEC/PBMC_SEB/TSST_24:CD40,HUVEC/PBMC_SEB/TSST_24:CD62E/E-Selectin,HUVEC/PBMC_SEB/TSST_24:CD69,HUVEC/PBMC_SEB/TSST_24:CXCL8/IL-8,HUVEC/PBMC_SEB/TSST_24:CXCL9/MIG,HUVEC/PBMC_SEB/TSST_24:PBMC Cytotoxicity,HUVEC/PBMC_SEB/TSST_24:Proliferation,HUVEC/PBMC_SEB/TSST_24:SRB,HUVEC_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,HUVEC_IL-1b/TNF-a/IFN-g_24:CD54/ICAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD62E/E-Selectin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,HUVEC_IL-1b/TNF-a/IFN-g_24:HLA-DR,HUVEC_IL-1b/TNF-a/IFN-g_24:Proliferation,HUVEC_IL-1b/TNF-a/IFN-g_24:SRB,HUVEC_IL-4/Histamine_24:CCL2/MCP-1,HUVEC_IL-4/Histamine_24:CCL26/Eotaxin-3,HUVEC_IL-4/Histamine_24:CD106/VCAM-1,HUVEC_IL-4/Histamine_24:CD62P/P-selectin,HUVEC_IL-4/Histamine_24:CD87/uPAR,HUVEC_IL-4/Histamine_24:SRB,HUVEC_IL-4/Histamine_24:VEGFR2,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:HLA-DR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:IL-6,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:LDLR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:M-CSF,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Proliferation,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Serum Amyloid A,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:SRB,mech
0.0314530177,0.0201478805,-0.006714663,-0.0277374548,-0.02218347,0.1108273044,-0.1123858092,-0.003284878,0.1024819978,0.018481,0.0043457465,0.074809518,-0.0355802151,0.002161067,-0.008595948,0.02505905,-0.0407329415,0.0510735632,-0.1115338223,0.0481478482,-0.0389596358,0.06413563,-0.00436231,-0.005136912,-0.004074041,0.04106138,0.009954245,-0.001147039,0.0463714083,0.0011078268,0.0091038017,-0.0182771721,0.1556243,0.0158120694,-0.0167669741,0.0069209879,0.0967840586,-0.01381622,0.028806363,-0.0285106857,-0.1395007884,-0.0021860807,-0.01779319,0.009820619,0.1167319,-0.024613883,0.1316609591,-0.0080773361,-0.01246664,-0.04413514,-0.01850853,-0.0124716893,-0.01899277,0.0208083384,0.142367393,0.03430255,0.0204545141,0.0147910654,0.0874525874,-0.008753898,-0.0136454598,-0.08893024,-0.01905256,0.0231893293,-0.2196546,-0.0430445056,-0.07709959,0.0006494311,-0.0408226756,0.04360807,-0.0132933567,-0.0166796896,0.1258968736,0.0168304131,-0.02382142,0.0226422135,0.0063610317,-0.0229928909,0.02157375,0.021963,-0.0194318171,-0.0402294615,-0.015234774,-0.03017217,AhR agonist
0.0329016037,0.0102406848,-0.004796456,0.0230301503,0.02906815,0.095446972,-0.0769307799,0.00196615,0.1421743922,0.01466007,-0.0204815976,0.0243378422,-0.0239572268,0.003909995,-0.008269458,0.04911775,-0.0554798259,0.0337971811,-0.0986859729,0.012415261,-0.0169274792,0.01840903,-0.003586737,-0.006810686,1.404621e-06,0.0202562,-0.01577257,0.001502653,0.0088549165,0.0019105562,0.0146197964,-0.0085154087,0.1286307,-0.0479059589,0.0269530207,0.0195878099,0.0554214218,-0.06531237,0.112276759,-0.0148459472,-0.1689477366,0.0005900842,-0.000611838,-0.01703384,0.1162366,-0.020458818,0.0867412583,0.0028624109,-0.0163726,-0.0248845,-0.0183798,0.0028071954,-0.0029077453,0.003448612,0.1537672086,0.007112676,0.0240517008,-0.0056990174,0.0647790583,0.0009259026,-0.0084856824,-0.08674197,-0.01574444,0.0412382269,-0.1866305,-0.0347317094,-0.06016884,-0.0198031306,-0.0299375997,0.01511229,0.0169695147,-0.0125564459,0.1035025752,0.0233731554,-0.02782484,0.0226418122,0.0099800769,-0.020360494,0.03509529,0.02529422,-0.0254635674,-0.0236083356,-0.0029655057,-0.01021274,AhR agonist
0.0231096021,-0.0036067983,-0.002454028,0.0193987069,0.03821361,0.0956193453,-0.1092714619,0.000255162,0.1291619213,-0.001622917,-0.0542804244,-0.0139784723,-0.0368365858,-0.004758488,-0.01861505,0.0631155,-0.0543234924,0.0202899671,-0.1127061174,0.0081941838,-0.0153018205,0.0149231,0.011087596,-0.002471902,0.001867202,0.0451884,-0.002560703,-0.001696156,0.0624627085,-0.0015689229,0.0044251733,-0.0222010955,0.1237238,-0.0399718397,-0.0008887716,0.0090025437,0.0370651875,-0.06846466,0.126359561,-0.02724796,-0.1159110822,0.0032426513,-0.0004121866,-0.02648587,0.1070742,-0.026369028,0.1029254457,0.004859582,0.001180241,-0.001674791,-0.02969321,0.0063018509,-0.0266549537,-0.0171049262,0.1304199226,-0.001922592,-0.0028558499,-0.0239288949,0.0755074241,-0.006578636,-0.00091484,-0.08660186,-0.02780119,0.0328244294,-0.2152592,-0.0442147707,-0.1006024,-0.0576768973,-0.0407318169,0.03154219,0.0076733622,-0.0170298172,0.1314884055,0.0181692943,-0.03197024,0.0234231771,0.014891634,-0.0240192508,0.03488655,0.03004114,-0.0239139699,-0.0290769705,0.0018512251,-0.01938074,AhR agonist
0.031828561,-0.0088691835,-0.00355513,0.0118866667,0.03083517,0.0901782749,-0.0709161444,-0.001388154,0.1109948989,0.003788984,-0.0349663854,-0.0099977089,-0.0140679153,0.003537193,-0.01574712,0.04256238,-0.0692121025,0.0522471223,-0.0826569415,-0.0053680408,-0.0104815756,0.005129076,0.009943514,0.01045139,-0.004175204,0.01932863,0.004286179,-0.002769934,0.0174629751,0.0076792006,0.0193334685,-0.0245483133,0.1161717,-0.0685685831,0.0375581718,0.0165529149,0.0496636589,-0.09825114,0.081199493,-0.018213127,-0.1258531591,0.0095419161,-0.00322344,-0.02036565,0.1074809,0.011223259,0.0929217882,-0.0019229871,-0.01134001,-0.02531555,-0.01133945,-0.0068905116,-0.0015430738,-0.0172428598,0.1216874268,-0.006432685,-0.0056506091,-0.0109274163,0.087580213,0.001223894,-0.0264087438,-0.08754301,-0.03001391,0.0157977493,-0.1565426,-0.0492472126,-0.04235589,-0.0542392302,-0.0322338236,-0.0188431,0.0176628236,-0.0092244403,0.0900640151,-0.0134166072,-0.03523944,0.0220862843,0.0138483456,-0.0110237834,0.04967557,0.02984435,-0.0265564163,-0.0440144757,-0.0034827965,-0.006185762,AhR agonist
-0.0356468575,-0.0064483989,0.01281094,0.0143114637,-0.02798949,-0.0853166736,-0.1001297737,-0.008895141,-0.0890392757,-0.08064904,-0.0271967478,0.014895005,-0.0182073374,-0.006050468,-0.01701465,-0.03356159,-0.0435704513,-0.023212047,-0.0289488182,-0.2303497473,-0.0042279127,-0.03938949,0.020263525,0.01829781,-0.01597837,0.02450548,-0.01701499,0.002944308,-0.0371294115,-0.0146462581,-0.0091178592,-0.0269106265,0.02266373,-0.1060744305,0.0052818582,-0.0315604877,0.0030847212,-0.0216712,-0.023616274,-0.0249963657,-0.068724799,-0.6382133102,-0.5449844,-0.5550085,-0.8262159,-0.473117609,-0.4864644554,-1.0502588069,-0.07919521,-0.5698871,-0.07552248,-0.0185135148,-0.042439827,-0.0195275433,-0.0417385579,-0.01612003,-0.0427690509,-0.0102566719,-0.0531797463,0.001554157,-0.0619236882,-0.05605277,-0.05472092,-0.1445107246,-0.05918976,-0.2269293502,0.01371293,0.0742575843,-0.0308649795,0.03581979,-0.0386982916,0.0509532935,0.0537053822,0.0159592414,-0.002686245,-0.0388577154,0.0103103416,0.0374410959,-0.07343705,0.01759909,-0.0212649792,0.0097947417,-0.0099588139,0.0009754696,Calcineurin inhibitor
-0.0150339444,-0.0054736479,0.006735297,0.008968997,-0.003948129,-0.025719701,-0.0408407731,0.003217897,-0.0215881221,-0.01752935,0.009618446,-0.0335639575,-0.0224283661,-0.004839882,0.00901093,0.02453715,-0.0041147229,0.0089346435,0.0065711211,-0.0191034552,-0.0024366623,0.005907012,0.035342895,0.01268943,0.002759057,0.0056953,-0.004829943,0.004633921,-0.0110845621,-0.0154764976,0.0066101822,0.005649203,-0.004733582,-0.0248155448,0.0007159931,-0.0084516001,0.0125097151,0.008480265,-0.002941225,-0.0050190538,-0.0113382976,-0.5226068663,-0.5144195,-0.4314093,-0.7220099,-0.393624615,-0.4721086211,-0.8941185066,-0.08137443,-0.4291548,-0.04748206,-0.0004579514,-0.0164088571,-0.0125753149,-0.0198307661,-0.01039336,-0.0269062922,0.0105473946,-0.0213145436,-0.000994459,-0.0239246929,-0.002984884,-0.01019837,-0.0930810938,-0.02977213,-0.0668573185,0.07654008,0.0688122973,-0.0148864133,0.009561278,-0.0325573221,0.0478397878,0.0315712764,0.0187240654,-0.001430922,-0.034050419,0.0045205458,0.0447829559,-0.05519305,0.0153905,-0.0357370045,0.0263216641,-0.0236497071,0.009791424,Calcineurin inhibitor
-0.0076017202,-0.0009798509,0.007651802,0.0098912368,0.00995607,-0.0760468274,-0.0754548894,-0.007233414,-0.0913313901,-0.06424565,-0.0145478916,0.0059509497,0.0018403445,-0.00927944,-0.00715377,-0.05102545,-0.0324407723,-0.0498008347,-0.1075141849,-0.445832729,-0.0255879942,-0.04007793,0.068447332,0.04701775,-0.01979817,0.05187486,0.004986211,0.001297134,-0.0307890658,0.0224782737,-0.0322906509,-0.0402434069,0.07596488,-0.1237318371,0.0280893368,-0.0601175623,-0.0231454318,0.003164537,0.052005834,-0.0531936967,0.0420565411,-0.7181595696,-0.5673617,-0.5992219,-0.8561455,-0.503843733,-0.5484300285,-1.0721776421,-0.117738,-0.8351937,-0.1059442,-0.010678042,-0.0621952236,0.0047812267,-0.0163274901,-0.01606324,-0.0455306744,0.0082835444,-0.0557568269,0.006723206,-0.073515647,-0.1061366,-0.0824034,-0.1537247563,-0.02163568,-0.2633549946,-0.02210708,0.0814429943,-0.058005504,0.002838543,-0.0242359775,0.0402685698,0.0399577344,-0.0219993608,-0.03721739,-0.0269673445,0.0118229313,0.0407798882,-0.05868101,0.01956014,-0.0206084795,-0.0339093341,-0.0346253102,-0.006169432,Calcineurin inhibitor
-0.0257870604,0.00490917,0.01109625,0.0187705203,-0.009493287,-0.0635716509,-0.0843650449,-0.001853161,-0.0539793112,-0.04459967,-0.021254065,-0.0541275719,-0.0171454953,-5.486762e-05,-0.006721792,-0.001373993,-0.0257839624,-0.0089185221,-0.004573556,-0.0845727532,0.0081410676,-0.0380133,0.030191093,0.01056629,0.004628523,0.01008593,0.00301176,0.0004105447,-0.0178232782,-0.0022684224,0.0138621474,-0.0098550858,0.01005002,-0.0466039627,0.0033278082,-0.0126659916,0.0101788477,0.01208491,0.004367358,-0.0110263965,0.0148990531,-0.6280209371,-0.5289337,-0.4638289,-0.7575843,-0.416163954,-0.4505923031,-1.0051459037,-0.08333332,-0.4776397,-0.06080891,-0.0029608859,-0.0254260845,-0.0164259919,-0.0255870314,-0.004838587,-0.0297112552,0.0147760964,-0.0266406405,0.00494246,-0.0254563323,-0.01062992,-0.0284486,-0.1072278357,-0.07596575,-0.1545994598,0.0418136,0.0941201646,-0.0211478076,0.0586097,-0.0195230651,0.069750162,0.0468087404,0.0187599018,0.00449924,-0.0475778106,0.0147631959,0.0466186054,-0.05513451,0.01481185,-0.0327479241,0.0183025773,-0.0041441958,0.002443619,Calcineurin inhibitor
-0.0238972791,-0.017957599,0.0004814453,-0.013671547,-0.0081704,-0.0098162112,-0.0367101244,0.001390719,0.0002709992,-0.01130107,-0.0224826928,-0.0225884588,0.0046646205,-0.007325843,0.002515535,0.01563744,-0.028735293,0.0020215394,0.0085695396,-0.0134900948,-0.0074722234,0.005812929,0.024158674,0.008959151,-0.00110505,0.01628902,0.0122242,0.001670767,0.0117107958,-0.0087487995,-0.0031559201,0.0176494503,-0.006220052,-0.0116964688,0.0154066515,-0.0105142543,-0.0218526753,0.005902355,-0.020200724,-0.0031460922,-0.0828441411,-0.2079788858,-0.2603021,-0.1783982,-0.4450839,-0.20155852,-0.3199356205,-0.2410173702,-0.0630434,-0.3575463,-0.02506672,0.0021059303,-0.0085795552,-0.0054485896,-0.0020901798,-0.004362122,-0.0141962217,0.0151297059,-0.0153629349,0.0003737785,-0.013067708,0.005607012,-0.0141237,-0.0830390211,-0.006481352,-0.0343294151,0.07464697,0.0596467871,-0.0032925726,0.01719985,-0.0026224825,0.0275444154,0.0372694774,0.0370376767,-0.0028392,-0.0282598474,0.02193681,0.085200598,0.0170661,-0.01634753,-0.0381275708,0.0255592234,-0.0265726896,-0.004022745,Calcineurin inhibitor
0.0152821089,0.0002463528,-0.004956431,0.0074173351,0.006413413,0.0322306884,0.0127472699,-0.000693517,0.0413839836,0.01221299,0.0143051509,-0.0869241479,0.0127089803,0.002463359,0.002383171,-0.003530422,-0.0033073538,-0.0322370585,0.0149739523,-0.0168137758,0.0004993501,-0.002227431,0.024772812,0.01358438,-0.009969618,0.01211126,0.002620511,0.002239337,0.0200802901,0.0039708407,0.0378253541,-0.0115001458,0.02967132,-0.0833243956,0.0229674687,-0.0031544045,0.0053266416,-0.002540754,0.005254292,0.0175877994,-0.1038032936,-0.7331725504,-0.5388049,-0.5541039,-0.7241208,-0.449992072,-0.4375147527,-1.006882964,-0.09571281,-0.4443957,-0.05187462,0.0015609274,-0.0128544208,0.0246890715,0.0629772682,0.003143598,-0.0082591365,0.0134133424,0.0196491071,-0.004372635,-0.0047329007,-0.01918499,0.02287001,-0.1143828174,0.07833888,-0.1036648784,0.1623866,0.0928820896,0.0180386633,-0.02401854,-0.0018079933,0.0376677344,0.0886857442,0.034163157,-0.009826036,0.0054515733,0.0161665779,0.01682369,0.03131702,0.06120262,-0.0463807738,0.0504197107,-0.0478494083,0.000995849,Calcineurin inhibitor
