BioMAP Viewer Mixed Profile,Mechanism,BrEPI_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL10/IP-10,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,BrEPI_IL-1b/TNF-a/IFN-g_24:HLA-DR,BrEPI_IL-1b/TNF-a/IFN-g_24:IL-1alpha,BrEPI_IL-1b/TNF-a/IFN-g_24:MMP-1,BrEPI_IL-1b/TNF-a/IFN-g_24:PAI-I,BrEPI_IL-1b/TNF-a/IFN-g_24:SRB,BrEPI_IL-1b/TNF-a/IFN-g_24:tPA,BrEPI_IL-1b/TNF-a/IFN-g_24:uPA,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CD106/VCAM-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Collagen III,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL10/IP-10,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL8/IL-8,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL9/MIG,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:EGFR,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:M-CSF,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:MMP-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:PAI-I,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Proliferation_72hr,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:SRB,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CCL2/MCP-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CD54/ICAM-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CXCL10/IP-10,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:IL-1alpha,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:MMP-9,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:SRB,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:uPA,HUVEC/PBMC_LPS_24:CCL2/MCP-1,HUVEC/PBMC_LPS_24:CD106/VCAM-1,HUVEC/PBMC_LPS_24:CD142/Tissue Factor,HUVEC/PBMC_LPS_24:CD40,HUVEC/PBMC_LPS_24:CD62E/E-Selectin,HUVEC/PBMC_LPS_24:CXCL8/IL-8,HUVEC/PBMC_LPS_24:IL-1alpha,HUVEC/PBMC_LPS_24:M-CSF,HUVEC/PBMC_LPS_24:sPGE2,HUVEC/PBMC_LPS_24:SRB,HUVEC/PBMC_LPS_24:sTNF-alpha,HUVEC/PBMC_SEB/TSST_24:CCL2/MCP-1,HUVEC/PBMC_SEB/TSST_24:CD38,HUVEC/PBMC_SEB/TSST_24:CD40,HUVEC/PBMC_SEB/TSST_24:CD62E/E-Selectin,HUVEC/PBMC_SEB/TSST_24:CD69,HUVEC/PBMC_SEB/TSST_24:CXCL8/IL-8,HUVEC/PBMC_SEB/TSST_24:CXCL9/MIG,HUVEC/PBMC_SEB/TSST_24:PBMC Cytotoxicity,HUVEC/PBMC_SEB/TSST_24:Proliferation,HUVEC/PBMC_SEB/TSST_24:SRB,HUVEC_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,HUVEC_IL-1b/TNF-a/IFN-g_24:CD54/ICAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD62E/E-Selectin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,HUVEC_IL-1b/TNF-a/IFN-g_24:HLA-DR,HUVEC_IL-1b/TNF-a/IFN-g_24:Proliferation,HUVEC_IL-1b/TNF-a/IFN-g_24:SRB,HUVEC_IL-4/Histamine_24:CCL2/MCP-1,HUVEC_IL-4/Histamine_24:CCL26/Eotaxin-3,HUVEC_IL-4/Histamine_24:CD106/VCAM-1,HUVEC_IL-4/Histamine_24:CD62P/P-selectin,HUVEC_IL-4/Histamine_24:CD87/uPAR,HUVEC_IL-4/Histamine_24:SRB,HUVEC_IL-4/Histamine_24:VEGFR2,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:HLA-DR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:IL-6,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:LDLR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:M-CSF,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Proliferation,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Serum Amyloid A,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:SRB
"Trusted, Agents, FICZ, BSK-C016173, 1000 nM",AhR agonist,0.031453018,0.020147881,-0.006714663,-0.027737455,-0.02218347,0.110827304,-0.112385809,-0.003284878,0.102481998,0.018481,0.004345747,0.074809518,-0.035580215,0.002161067,-0.008595948,0.02505905,-0.040732942,0.051073563,-0.111533822,0.048147848,-0.038959636,0.06413563,-0.00436231,-0.005136912,-0.004074041,0.04106138,0.009954245,-0.001147039,0.046371408,0.001107827,0.009103802,-0.018277172,0.1556243,0.015812069,-0.016766974,0.006920988,0.096784059,-0.01381622,0.028806363,-0.028510686,-0.139500788,-0.002186081,-0.01779319,0.009820619,0.1167319,-0.024613883,0.131660959,-0.008077336,-0.01246664,-0.04413514,-0.01850853,-0.012471689,-0.01899277,0.020808338,0.142367393,0.03430255,0.020454514,0.014791065,0.087452587,-0.008753898,-0.01364546,-0.08893024,-0.01905256,0.023189329,-0.2196546,-0.043044506,-0.07709959,0.000649431,-0.040822676,0.04360807,-0.013293357,-0.01667969,0.125896874,0.016830413,-0.02382142,0.022642214,0.006361032,-0.022992891,0.02157375,0.021963,-0.019431817,-0.040229462,-0.015234774,-0.03017217
"Trusted, Agents, FICZ, BSK-C016173, 111.1 nM",AhR agonist,0.032901604,0.010240685,-0.004796456,0.02303015,0.02906815,0.095446972,-0.07693078,0.00196615,0.142174392,0.01466007,-0.020481598,0.024337842,-0.023957227,0.003909995,-0.008269458,0.04911775,-0.055479826,0.033797181,-0.098685973,0.012415261,-0.016927479,0.01840903,-0.003586737,-0.006810686,1.40E-06,0.0202562,-0.01577257,0.001502653,0.008854917,0.001910556,0.014619796,-0.008515409,0.1286307,-0.047905959,0.026953021,0.01958781,0.055421422,-0.06531237,0.112276759,-0.014845947,-0.168947737,0.000590084,-0.000611838,-0.01703384,0.1162366,-0.020458818,0.086741258,0.002862411,-0.0163726,-0.0248845,-0.0183798,0.002807195,-0.002907745,0.003448612,0.153767209,0.007112676,0.024051701,-0.005699017,0.064779058,0.000925903,-0.008485682,-0.08674197,-0.01574444,0.041238227,-0.1866305,-0.034731709,-0.06016884,-0.019803131,-0.0299376,0.01511229,0.016969515,-0.012556446,0.103502575,0.023373155,-0.02782484,0.022641812,0.009980077,-0.020360494,0.03509529,0.02529422,-0.025463567,-0.023608336,-0.002965506,-0.01021274
"Trusted, Agents, FICZ, BSK-C016173, 333.3 nM",AhR agonist,0.023109602,-0.003606798,-0.002454028,0.019398707,0.03821361,0.095619345,-0.109271462,0.000255162,0.129161921,-0.001622917,-0.054280424,-0.013978472,-0.036836586,-0.004758488,-0.01861505,0.0631155,-0.054323492,0.020289967,-0.112706117,0.008194184,-0.015301821,0.0149231,0.011087596,-0.002471902,0.001867202,0.0451884,-0.002560703,-0.001696156,0.062462709,-0.001568923,0.004425173,-0.022201096,0.1237238,-0.03997184,-0.000888772,0.009002544,0.037065188,-0.06846466,0.126359561,-0.02724796,-0.115911082,0.003242651,-0.000412187,-0.02648587,0.1070742,-0.026369028,0.102925446,0.004859582,0.001180241,-0.001674791,-0.02969321,0.006301851,-0.026654954,-0.017104926,0.130419923,-0.001922592,-0.00285585,-0.023928895,0.075507424,-0.006578636,-0.00091484,-0.08660186,-0.02780119,0.032824429,-0.2152592,-0.044214771,-0.1006024,-0.057676897,-0.040731817,0.03154219,0.007673362,-0.017029817,0.131488406,0.018169294,-0.03197024,0.023423177,0.014891634,-0.024019251,0.03488655,0.03004114,-0.02391397,-0.029076971,0.001851225,-0.01938074
"Trusted, Agents, FICZ, BSK-C016173, 37 nM",AhR agonist,0.031828561,-0.008869184,-0.00355513,0.011886667,0.03083517,0.090178275,-0.070916144,-0.001388154,0.110994899,0.003788984,-0.034966385,-0.009997709,-0.014067915,0.003537193,-0.01574712,0.04256238,-0.069212103,0.052247122,-0.082656942,-0.005368041,-0.010481576,0.005129076,0.009943514,0.01045139,-0.004175204,0.01932863,0.004286179,-0.002769934,0.017462975,0.007679201,0.019333469,-0.024548313,0.1161717,-0.068568583,0.037558172,0.016552915,0.049663659,-0.09825114,0.081199493,-0.018213127,-0.125853159,0.009541916,-0.00322344,-0.02036565,0.1074809,0.011223259,0.092921788,-0.001922987,-0.01134001,-0.02531555,-0.01133945,-0.006890512,-0.001543074,-0.01724286,0.121687427,-0.006432685,-0.005650609,-0.010927416,0.087580213,0.001223894,-0.026408744,-0.08754301,-0.03001391,0.015797749,-0.1565426,-0.049247213,-0.04235589,-0.05423923,-0.032233824,-0.0188431,0.017662824,-0.00922444,0.090064015,-0.013416607,-0.03523944,0.022086284,0.013848346,-0.011023783,0.04967557,0.02984435,-0.026556416,-0.044014476,-0.003482797,-0.006185762
"Trusted, Agents, Cyclosporin A, BSK-C016173, 1111.1 nM",Calcineurin inhibitor,-0.035646858,-0.006448399,0.01281094,0.014311464,-0.02798949,-0.085316674,-0.100129774,-0.008895141,-0.089039276,-0.08064904,-0.027196748,0.014895005,-0.018207337,-0.006050468,-0.01701465,-0.03356159,-0.043570451,-0.023212047,-0.028948818,-0.230349747,-0.004227913,-0.03938949,0.020263525,0.01829781,-0.01597837,0.02450548,-0.01701499,0.002944308,-0.037129412,-0.014646258,-0.009117859,-0.026910627,0.02266373,-0.106074431,0.005281858,-0.031560488,0.003084721,-0.0216712,-0.023616274,-0.024996366,-0.068724799,-0.63821331,-0.5449844,-0.5550085,-0.8262159,-0.473117609,-0.486464455,-1.050258807,-0.07919521,-0.5698871,-0.07552248,-0.018513515,-0.042439827,-0.019527543,-0.041738558,-0.01612003,-0.042769051,-0.010256672,-0.053179746,0.001554157,-0.061923688,-0.05605277,-0.05472092,-0.144510725,-0.05918976,-0.22692935,0.01371293,0.074257584,-0.03086498,0.03581979,-0.038698292,0.050953294,0.053705382,0.015959241,-0.002686245,-0.038857715,0.010310342,0.037441096,-0.07343705,0.01759909,-0.021264979,0.009794742,-0.009958814,0.00097547
"Trusted, Agents, Cyclosporin A, BSK-C016173, 123.5 nM",Calcineurin inhibitor,-0.015033944,-0.005473648,0.006735297,0.008968997,-0.003948129,-0.025719701,-0.040840773,0.003217897,-0.021588122,-0.01752935,0.009618446,-0.033563958,-0.022428366,-0.004839882,0.00901093,0.02453715,-0.004114723,0.008934644,0.006571121,-0.019103455,-0.002436662,0.005907012,0.035342895,0.01268943,0.002759057,0.0056953,-0.004829943,0.004633921,-0.011084562,-0.015476498,0.006610182,0.005649203,-0.004733582,-0.024815545,0.000715993,-0.0084516,0.012509715,0.008480265,-0.002941225,-0.005019054,-0.011338298,-0.522606866,-0.5144195,-0.4314093,-0.7220099,-0.393624615,-0.472108621,-0.894118507,-0.08137443,-0.4291548,-0.04748206,-0.000457951,-0.016408857,-0.012575315,-0.019830766,-0.01039336,-0.026906292,0.010547395,-0.021314544,-0.000994459,-0.023924693,-0.002984884,-0.01019837,-0.093081094,-0.02977213,-0.066857319,0.07654008,0.068812297,-0.014886413,0.009561278,-0.032557322,0.047839788,0.031571276,0.018724065,-0.001430922,-0.034050419,0.004520546,0.044782956,-0.05519305,0.0153905,-0.035737005,0.026321664,-0.023649707,0.009791424
"Trusted, Agents, Cyclosporin A, BSK-C016173, 3333.3 nM",Calcineurin inhibitor,-0.00760172,-0.000979851,0.007651802,0.009891237,0.00995607,-0.076046827,-0.075454889,-0.007233414,-0.09133139,-0.06424565,-0.014547892,0.00595095,0.001840345,-0.00927944,-0.00715377,-0.05102545,-0.032440772,-0.049800835,-0.107514185,-0.445832729,-0.025587994,-0.04007793,0.068447332,0.04701775,-0.01979817,0.05187486,0.004986211,0.001297134,-0.030789066,0.022478274,-0.032290651,-0.040243407,0.07596488,-0.123731837,0.028089337,-0.060117562,-0.023145432,0.003164537,0.052005834,-0.053193697,0.042056541,-0.71815957,-0.5673617,-0.5992219,-0.8561455,-0.503843733,-0.548430029,-1.072177642,-0.117738,-0.8351937,-0.1059442,-0.010678042,-0.062195224,0.004781227,-0.01632749,-0.01606324,-0.045530674,0.008283544,-0.055756827,0.006723206,-0.073515647,-0.1061366,-0.0824034,-0.153724756,-0.02163568,-0.263354995,-0.02210708,0.081442994,-0.058005504,0.002838543,-0.024235978,0.04026857,0.039957734,-0.021999361,-0.03721739,-0.026967345,0.011822931,0.040779888,-0.05868101,0.01956014,-0.02060848,-0.033909334,-0.03462531,-0.006169432
"Trusted, Agents, Cyclosporin A, BSK-C016173, 370.4 nM",Calcineurin inhibitor,-0.02578706,0.00490917,0.01109625,0.01877052,-0.009493287,-0.063571651,-0.084365045,-0.001853161,-0.053979311,-0.04459967,-0.021254065,-0.054127572,-0.017145495,-5.49E-05,-0.006721792,-0.001373993,-0.025783962,-0.008918522,-0.004573556,-0.084572753,0.008141068,-0.0380133,0.030191093,0.01056629,0.004628523,0.01008593,0.00301176,0.000410545,-0.017823278,-0.002268422,0.013862147,-0.009855086,0.01005002,-0.046603963,0.003327808,-0.012665992,0.010178848,0.01208491,0.004367358,-0.011026397,0.014899053,-0.628020937,-0.5289337,-0.4638289,-0.7575843,-0.416163954,-0.450592303,-1.005145904,-0.08333332,-0.4776397,-0.06080891,-0.002960886,-0.025426085,-0.016425992,-0.025587031,-0.004838587,-0.029711255,0.014776096,-0.026640641,0.00494246,-0.025456332,-0.01062992,-0.0284486,-0.107227836,-0.07596575,-0.15459946,0.0418136,0.094120165,-0.021147808,0.0586097,-0.019523065,0.069750162,0.04680874,0.018759902,0.00449924,-0.047577811,0.014763196,0.046618605,-0.05513451,0.01481185,-0.032747924,0.018302577,-0.004144196,0.002443619
"Trusted, Agents, Cyclosporin A, BSK-C016173, 41.2 nM",Calcineurin inhibitor,-0.023897279,-0.017957599,0.000481445,-0.013671547,-0.0081704,-0.009816211,-0.036710124,0.001390719,0.000270999,-0.01130107,-0.022482693,-0.022588459,0.004664621,-0.007325843,0.002515535,0.01563744,-0.028735293,0.002021539,0.00856954,-0.013490095,-0.007472223,0.005812929,0.024158674,0.008959151,-0.00110505,0.01628902,0.0122242,0.001670767,0.011710796,-0.0087488,-0.00315592,0.01764945,-0.006220052,-0.011696469,0.015406652,-0.010514254,-0.021852675,0.005902355,-0.020200724,-0.003146092,-0.082844141,-0.207978886,-0.2603021,-0.1783982,-0.4450839,-0.20155852,-0.319935621,-0.24101737,-0.0630434,-0.3575463,-0.02506672,0.00210593,-0.008579555,-0.00544859,-0.00209018,-0.004362122,-0.014196222,0.015129706,-0.015362935,0.000373779,-0.013067708,0.005607012,-0.0141237,-0.083039021,-0.006481352,-0.034329415,0.07464697,0.059646787,-0.003292573,0.01719985,-0.002622483,0.027544415,0.037269477,0.037037677,-0.0028392,-0.028259847,0.02193681,0.085200598,0.0170661,-0.01634753,-0.038127571,0.025559223,-0.02657269,-0.004022745
"Trusted, Agents, FK-506, BSK-C016173, 1111.1 nM",Calcineurin inhibitor,0.015282109,0.000246353,-0.004956431,0.007417335,0.006413413,0.032230688,0.01274727,-0.000693517,0.041383984,0.01221299,0.014305151,-0.086924148,0.01270898,0.002463359,0.002383171,-0.003530422,-0.003307354,-0.032237059,0.014973952,-0.016813776,0.00049935,-0.002227431,0.024772812,0.01358438,-0.009969618,0.01211126,0.002620511,0.002239337,0.02008029,0.003970841,0.037825354,-0.011500146,0.02967132,-0.083324396,0.022967469,-0.003154405,0.005326642,-0.002540754,0.005254292,0.017587799,-0.103803294,-0.73317255,-0.5388049,-0.5541039,-0.7241208,-0.449992072,-0.437514753,-1.006882964,-0.09571281,-0.4443957,-0.05187462,0.001560927,-0.012854421,0.024689072,0.062977268,0.003143598,-0.008259137,0.013413342,0.019649107,-0.004372635,-0.004732901,-0.01918499,0.02287001,-0.114382817,0.07833888,-0.103664878,0.1623866,0.09288209,0.018038663,-0.02401854,-0.001807993,0.037667734,0.088685744,0.034163157,-0.009826036,0.005451573,0.016166578,0.01682369,0.03131702,0.06120262,-0.046380774,0.050419711,-0.047849408,0.000995849
